Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Segment	Publications	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	date	country	strain	virus	latitude	longitude
MW717937.1	Rift Valley fever virus	GenBank						22-FEB-2022	EGY-Bat-1/20	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	513	partial		unknown					bat	liver	11-Dec-2019			Rift Valley fever virus strain EGY-Bat-1/20 Gn protein gene, partial cds	2019-12-11		EGY-Bat-1/20	rvf		
MG659966.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA1171/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA1171/10 segment S, complete sequence	2010		SA1171/10	rvf		
PP826244.1	Rift Valley fever virus	GenBank						04-AUG-2024	Rwanda2022P326	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3513	partial		M					Bos taurus	plasma	28-Sep-2022			Rift Valley fever virus strain Rwanda2022P326 glycoprotein gene, partial cds	2022-09-28		Rwanda2022P326	rvf		
JF326191.1	Rift Valley fever virus	GenBank						08-FEB-2012	2007000234	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2007			Rift Valley fever virus strain 2007000234 segment M, complete sequence	2007		2007000234	rvf		
MG659862.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA538/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SA538/10 segment L, complete sequence	2010		SA538/10	rvf		
MG659918.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA103/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA103/10 segment S, complete sequence	2010		SA103/10	rvf		
GQ443252.1	Rift Valley fever virus	GenBank						25-JUL-2016	1695-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		unknown					Ovis aries	serum	20-Apr-2008			Rift Valley fever virus strain 1695-08 segment M glycoprotein G2 gene, partial cds	2008-04-20		1695-08	rvf		
ON060772.1	Rift Valley fever virus	GenBank						25-MAR-2023	2019000825_L|Uganda|2019	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6392	partial		L			Uganda		Homo sapiens		2019			Rift Valley fever virus isolate 2019000825_L|Uganda|2019 RNA-dependent RNA polymerase gene, complete cds	2019	Uganda	2019000825_L|Uganda|2019	rvf	1.3733	32.2903
PP746438.1	Rift Valley fever virus	GenBank						12-FEB-2025	KEM-ND	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6232	partial		L					Homo sapiens		01-Jan-2007			Rift Valley fever virus strain KEM-ND polymerase gene, partial cds	2007-01-01		KEM-ND	rvf		
OM744379.1	Rift Valley fever virus	GenBank						20-MAR-2022	DVS-372	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6400	complete		L					Bos taurus		15-Jul-2021			Rift Valley fever virus strain DVS-372 segment L, complete sequence	2021-07-15		DVS-372	rvf		
JQ820473.1	Rift Valley fever virus	GenBank						26-JAN-2013	Sudan 4-2010	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S			Sudan		Homo sapiens	human sera	Oct-2010			Rift Valley fever virus strain Sudan 4-2010 segment S, complete sequence	2010	Sudan	Sudan 4-2010	rvf	12.8628	30.2176
MK134840.1	Phlebovirus riftense	GenBank						16-DEC-2019	RV2613-1/RSA/2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					ovine		14-May-2018			Phlebovirus riftense isolate RV2613-1/RSA/2018 segment S, complete sequence	2018-05-14		RV2613-1/RSA/2018	rvf		
JF326202.1	Rift Valley fever virus	GenBank						08-FEB-2012	2007000260	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					mosquito		31-Dec-2006			Rift Valley fever virus strain 2007000260 segment S, complete sequence	2006-12-31		2007000260	rvf		
EU574014.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007001811	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					caprine		01-Dec-2006			Rift Valley fever virus strain 2007001811 segment L, complete sequence	2006-12-01		2007001811	rvf		
PP747242.1	Rift Valley fever virus	GenBank						15-JAN-2025	Rwanda2018RU1-SE	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1614	partial		S					Bos taurus		01-Jan-2018			Rift Valley fever virus strain Rwanda2018RU1-SE nonstructural protein and nucleocapsid genes, complete cds	2018-01-01		Rwanda2018RU1-SE	rvf		
OM744372.1	Rift Valley fever virus	GenBank						20-MAR-2022	DVS-333	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1689	complete		S					Bos taurus		15-Jul-2021			Rift Valley fever virus strain DVS-333 segment S, complete sequence	2021-07-15		DVS-333	rvf		
ON060825.1	Rift Valley fever virus	GenBank						25-MAR-2023	2020000159_L|Uganda	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6265	partial		L			Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 2020000159_L|Uganda RNA-dependent RNA polymerase gene, partial cds	2018	Uganda	2020000159_L|Uganda	rvf	1.3733	32.2903
AF134549.1	Rift Valley fever virus	GenBank						26-JUL-2016	An Sen 93	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	142	partial		unknown										Rift Valley fever virus S segment strain An Sen 93 nucleocapsid protein (N) gene, partial cds			An Sen 93	rvf		
KX944852.1	Rift Valley fever virus	GenBank						25-OCT-2018	M16/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6403	partial		L					ovine		2010			Rift Valley fever virus isolate M16/10 segment L polymerase gene, complete cds	2010		M16/10	rvf		
PP746387.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P13	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1629	partial		S					Bos taurus		2022-08-06			Rift Valley fever virus strain Rwanda2022P13 nonstructural protein and nucleocapsid genes, complete cds	2022-08-06		Rwanda2022P13	rvf		
KF717590.1	Rift Valley fever virus	GenBank						25-DEC-2013	211977	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	680	partial		unknown					Homo sapiens	human serum	05-Dec-2010			Rift Valley fever virus isolate 211977 segment M glycoprotein (G2) gene, partial cds	2010-12-05		211977	rvf		
KY126675.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA1796/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SA1796/10 segment L, complete sequence	2010		SA1796/10	rvf		
M33095.1	Rift Valley fever virus	GenBank						03-AUG-1993	Zimbabwian isolate ZIM70 (1260/78)	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	90	partial		unknown										Rift Valley fever virus (Zimbabwian isolate ZIM70 (1260/78)) M segment nonstructural glycoprotein gene, partial cds			Zimbabwian isolate ZIM70 (1260/78)	rvf		
MH880841.1	Rift Valley fever virus	GenBank						11-MAR-2019	RVF41125	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	683	partial		unknown					Homo sapiens		2016			Rift Valley fever virus isolate RVF41125 nonstructural protein gene, partial cds	2016		RVF41125	rvf		
MG659777.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA591/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA591/10 segment M, complete sequence	2010		SA591/10	rvf		
GQ443250.1	Rift Valley fever virus	GenBank						25-JUL-2016	1586-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		unknown					Homo sapiens	serum	15-Apr-2008			Rift Valley fever virus strain 1586-08 segment M glycoprotein G2 gene, partial cds	2008-04-15		1586-08	rvf		
KY196497.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA1796/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA1796/10 segment S, complete sequence	2010		SA1796/10	rvf		
EF160116.1	Rift Valley fever virus	GenBank						31-JUL-2007	H1 MAU 03	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	726	partial		unknown					Homo sapiens					Rift Valley fever virus strain H1 MAU 03 G2 protein (G2) gene, partial cds			H1 MAU 03	rvf		
GQ443138.1	Rift Valley fever virus	GenBank						25-JUL-2016	0684-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		unknown					Homo sapiens	serum	12-Mar-2008			Rift Valley fever virus strain 0684-08 segment S nonstructural protein gene, partial cds	2008-03-12		0684-08	rvf		
GQ443217.1	Rift Valley fever virus	GenBank						25-JUL-2016	2034-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		unknown					Homo sapiens	serum	23-Apr-2008			Rift Valley fever virus strain 2034-08 segment L polymerase gene, partial cds	2008-04-23		2034-08	rvf		
GU135863.1	Rift Valley fever virus	GenBank						03-APR-2012	AL-55	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		unknown					Anopheles squamosus	unfed female mosquitos	28-Apr-2009			Rift Valley fever virus strain AL-55 segment M glycoprotein Gn gene, partial cds	2009-04-28		AL-55	rvf		
MG659948.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA538/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA538/10 segment S, complete sequence	2010		SA538/10	rvf		
PP746429.1	Rift Valley fever virus	GenBank						12-FEB-2025	J10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3840	partial		M					Homo sapiens		01-Jan-2007			Rift Valley fever virus strain J10 glycoprotein gene, partial cds	2007-01-01		J10	rvf		
PP746430.1	Rift Valley fever virus	GenBank						12-FEB-2025	J8	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3840	partial		M					Homo sapiens		01-Jan-2007			Rift Valley fever virus strain J8 glycoprotein gene, partial cds	2007-01-01		J8	rvf		
PP541455.1	Rift Valley fever virus	GenBank						27-OCT-2024	SH409226	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1671	complete		S					Homo sapiens		11-Nov-2022			Rift Valley fever virus isolate SH409226 segment S, complete sequence	2022-11-11		SH409226	rvf		
KY126714.1	Rift Valley fever virus	GenBank						13-NOV-2020	SPU52/99/1	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					African buffalo		1999			Rift Valley fever virus isolate SPU52/99/1 segment M, complete sequence	1999		SPU52/99/1	rvf		
GQ443143.1	Rift Valley fever virus	GenBank						25-JUL-2016	0846-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		unknown					Homo sapiens	serum	23-Mar-2008			Rift Valley fever virus strain 0846-08 segment S nonstructural protein gene, partial cds	2008-03-23		0846-08	rvf		
ON052830.1	Phlebovirus riftense	GenBank						01-NOV-2022	7	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	603	partial		unknown					Homo sapiens	serum	09-Nov-2020			Rift Valley fever phlebovirus isolate 7 NSs gene, partial cds	2020-11-09		7	rvf		
MG659989.1	Rift Valley fever virus	GenBank						13-NOV-2020	Lunyo	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					Aedes sp. (mosquito)		1955			Rift Valley fever virus isolate Lunyo segment S, complete sequence	1955		Lunyo	rvf		
OM744369.1	Rift Valley fever virus	GenBank						20-MAR-2022	DVS-372	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3881	complete		M					Bos taurus		15-Jul-2021			Rift Valley fever virus strain DVS-372 segment M, complete sequence	2021-07-15		DVS-372	rvf		
GQ443199.1	Rift Valley fever virus	GenBank						25-JUL-2016	0854-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		unknown					Homo sapiens	serum	23-Mar-2008			Rift Valley fever virus strain 0854-08 segment L polymerase gene, partial cds	2008-03-23		0854-08	rvf		
MG649058.1	Rift Valley fever virus	GenBank						30-DEC-2018	RVFV-BJ01-Sera-6d/2016	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens	serum	21-Jun-2016			Rift Valley fever virus isolate RVFV-BJ01-Sera-6d/2016 segment S, complete sequence	2016-06-21		RVFV-BJ01-Sera-6d/2016	rvf		
NC_014397.1	Rift Valley fever virus	RefSeq						13-AUG-2018	ZH-548	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L						human sera	1977		PRJNA485481	Rift Valley fever virus segment L, complete genome	1977		ZH-548	rvf		
EU574030.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007000080	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					bovine		12-Jan-2007			Rift Valley fever virus strain 2007000080 segment L, complete sequence	2007-01-12		2007000080	rvf		
HM587122.1	Rift Valley fever virus	GenBank						09-DEC-2011	OS-4	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		unknown					Homo sapiens		1988			Rift Valley fever virus isolate OS-4 segment M glycoprotein G2 gene, partial cds	1988		OS-4	rvf		
PQ753150.1	Rift Valley fever virus	GenBank						01-FEB-2025	RW627	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	494	partial		unknown					Culex quinquefasciatus	whole body	17-May-2022			Rift Valley fever virus strain RW627 RNA-dependent RNA polymerase gene, partial cds	2022-05-17		RW627	rvf		
MG659757.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA226/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA226/10 segment M, complete sequence	2010		SA226/10	rvf		
ON060809.1	Rift Valley fever virus	GenBank						25-MAR-2023	201902753_M|Uganda|2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3867	partial		M			Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 201902753_M|Uganda|2018 glycoprotein gene, complete cds	2018	Uganda	201902753_M|Uganda|2018	rvf	1.3733	32.2903
OM744371.1	Rift Valley fever virus	GenBank						20-MAR-2022	DVS-321	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Bos taurus		15-Jul-2021			Rift Valley fever virus strain DVS-321 segment S, complete sequence	2021-07-15		DVS-321	rvf		
ON060816.1	Rift Valley fever virus	GenBank						25-MAR-2023	201902763_L|Uganda|2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6388	partial		L			Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 201902763_L|Uganda|2018 RNA-dependent RNA polymerase gene, complete cds	2018	Uganda	201902763_L|Uganda|2018	rvf	1.3733	32.2903
KY366325.1	Rift Valley fever virus	GenBank						29-JUN-2017	272659	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1498	partial		S					Homo sapiens	serum				Rift Valley fever virus isolate 272659 nonstructural protein and nucleocapsid genes, complete cds			272659	rvf		
EU574079.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007000608	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					bovine		29-Jan-2007			Rift Valley fever virus strain 2007000608 segment S, complete sequence	2007-01-29		2007000608	rvf		
ON060803.1	Rift Valley fever virus	GenBank						25-MAR-2023	201902747_M|Uganda|2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3849	partial		M			Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 201902747_M|Uganda|2018 glycoprotein gene, complete cds	2018	Uganda	201902747_M|Uganda|2018	rvf	1.3733	32.2903
KY126688.1	Rift Valley fever virus	GenBank						13-NOV-2020	Ar20364	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Culex zombaensis		1981			Rift Valley fever virus isolate Ar20364 segment L, complete sequence	1981		Ar20364	rvf		
EU574018.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007001443	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					bovine		31-Jan-2007			Rift Valley fever virus strain 2007001443 segment L, complete sequence	2007-01-31		2007001443	rvf		
KX944832.1	Rift Valley fever virus	GenBank						25-OCT-2018	M1975/Bov	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3838	partial		M					bovine		1975			Rift Valley fever virus isolate M1975/Bov glycoprotein gene, partial cds	1975		M1975/Bov	rvf		
HM586961.1	Rift Valley fever virus	GenBank						14-APR-2011	KEN/Gar-Msq	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	partial		L					mosquito		29-Dec-2006			Rift Valley fever virus strain KEN/Gar-Msq polymerase (L) gene, complete cds	2006-12-29		KEN/Gar-Msq	rvf		
EU574055.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007000094	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					bovine		12-Jan-2007			Rift Valley fever virus strain 2007000094 segment M, complete sequence	2007-01-12		2007000094	rvf		
EU574053.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007000223	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					bovine		16-Jan-2007			Rift Valley fever virus strain 2007000223 segment M, complete sequence	2007-01-16		2007000223	rvf		
MG659937.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA377/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA377/10 segment S, complete sequence	2010		SA377/10	rvf		
KX944847.1	Rift Valley fever virus	GenBank						25-OCT-2018	M84/08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3876	partial		M					bovine		2008			Rift Valley fever virus isolate M84/08 glycoprotein gene, complete cds	2008		M84/08	rvf		
GQ443162.1	Rift Valley fever virus	GenBank						25-JUL-2016	0897-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		unknown					Homo sapiens	serum	26-Mar-2008			Rift Valley fever virus strain 0897-08 segment S nonstructural protein gene, partial cds	2008-03-26		0897-08	rvf		
MT749361.1	Phlebovirus riftense	GenBank						30-SEP-2022	EG/RVFV/Aswan/Abu-simble/294/2014	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	391	partial		unknown					camel	serum	2014			Rift Valley fever phlebovirus isolate EG/RVFV/Aswan/Abu-simble/294/2014 segment S nonstructural protein gene, partial cds	2014		EG/RVFV/Aswan/Abu-simble/294/2014	rvf		
AF134536.1	Rift Valley fever virus	GenBank						26-JUL-2016	384-97.1	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	144	partial		unknown										Rift Valley fever virus S segment strain 384-97.1 nucleocapsid protein (N) gene, partial cds			384-97.1	rvf		
MG659838.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA135/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SA135/10 segment L, complete sequence	2010		SA135/10	rvf		
KY126709.1	Rift Valley fever virus	GenBank						13-NOV-2020	SPU404/09	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2009			Rift Valley fever virus isolate SPU404/09 segment M, complete sequence	2009		SPU404/09	rvf		
HM586963.1	Rift Valley fever virus	GenBank						14-APR-2011	KEN/Bar-Msq	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	partial		L					mosquito		13-Feb-2007			Rift Valley fever virus strain KEN/Bar-Msq polymerase (L) gene, complete cds	2007-02-13		KEN/Bar-Msq	rvf		
