Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Segment	Publications	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	date	country	strain	virus	accession	latitude	longitude
PP746435.1	Rift Valley fever virus	GenBank			Konongoi,S.L., Juma,J.A., Roesel,K., Bett,B. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		12-FEB-2025	J9	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1667	partial		S		Kenya: Kilifi	Kenya		Homo sapiens		11-Jan-2007			Rift Valley fever virus strain J9 nonstructural protein and nucleocapsid genes, complete cds	2007-01-11	Kenya	J9	rvf	PP746435.1	0.0236	37.9062
EU312146.1	Rift Valley fever virus	GenBank			Aitken,S.C., Paweska,J.T. and Grobbelaar,A.	Special Pathogens Unit, National Institute for Communicable Diseases, Private Bag X4, Sandringham, Johannesburg, Gauteng 2131, South Africa		30-NOV-2009	SPU10307KEN07	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Kenya	Kenya		Homo sapiens		2007			Rift Valley fever virus strain SPU10307KEN07 segment S, complete sequence	2007	Kenya	SPU10307KEN07	rvf	EU312146.1	0.0236	37.9062
HM587066.1	Rift Valley fever virus	GenBank			Grobbelaar,A., Swanepoel,R. and Paweska,J.T.	NICD, 1 Modderfontein Road, Johannesburg 2131, South Africa		09-DEC-2011	SA152/08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		M		South Africa	South Africa		Homo sapiens		2008			Rift Valley fever virus isolate SA152/08 segment M glycoprotein G2 gene, partial cds	2008	South Africa	SA152/08	rvf	HM587066.1	-30.5595	22.9375
Y12742.1	Rift Valley fever virus	GenBank			Prehaud,C.J.N.	C.J.N. Prehaud, Institut Pasteur, Laboratoire des Bunyavirides, 75724 Paris Cedex 15, 75724, FRANCE		25-JUL-2016	Ar D104769	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	601	partial												Rift valley fever virus NSs gene, partial, strain Ar D104769			Ar D104769	rvf	Y12742.1		
MG659850.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA344/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA344/10 segment L, complete sequence	2010	South Africa	SA344/10	rvf	MG659850.1	-30.5595	22.9375
GN358805.1	Rift Valley fever virus	GenBank			Baptista,C.S., Wu,X. and Munroe,D.J.			12-MAY-2009		Phlebovirus riftense	Phlebovirus	Phenuiviridae	unassigned DNA	60	partial												Sequence 8569 from Patent WO2007130519			GN358805.1	rvf	GN358805.1		
OM519308.1	Rift Valley fever virus	GenBank			Oragwa,A.O., Obishakin,E.T. and Oluwayelu,D.O.	Veterinary Microbiology, University of Jos, Bauchi Road Campus, Jos, Plateau State 930242, Nigeria		13-DEC-2022	NGR_2021_01	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	624	partial				Nigeria: Benue State	Nigeria		Bos taurus	serum	26-Mar-2021			Rift Valley fever virus isolate NGR_2021_01 NSs protein gene, partial cds	2021-03-26	Nigeria	NGR_2021_01	rvf	OM519308.1	9.082	8.6753
DQ380188.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	763/70	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Zimbabwe: Salisbury	Zimbabwe		bovine	fetus	1970			Rift Valley fever virus strain 763/70 segment M, complete sequence	1970	Zimbabwe	763/70	rvf	DQ380188.1	-19.0154	29.1549
DQ380172.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	73HB1230	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Central African Republic	Central African Republic		Homo sapiens	human sera	1973			Rift Valley fever virus strain 73HB1230 segment S, complete sequence	1973	Central African Republic	73HB1230	rvf	DQ380172.1	6.6111	20.9394
OR780629.1	Rift Valley fever virus	GenBank			Juma,J.A., Nkundwanayo,C., Nyabongo,L., Niyokwizera,P., Ntirandekura,B., Ntuwuyankira,N., Nyamota,R., Konongoi,S.L., Roesel,K., Bett,B.K. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		06-DEC-2023	BDI0008	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	5924	partial		L		Burundi: Kobero	Burundi		Bos taurus		19-May-2022			Rift Valley fever virus isolate BDI0008 polymerase gene, partial cds	2022-05-19	Burundi	BDI0008	rvf	OR780629.1	-3.3731	29.9189
HM586957.1	Rift Valley fever virus	GenBank			Nderitu,L.M., Lee,J.S., Omolo,J., Omulo,S., O'Guinn,M.L., Hightower,A., Mosha,F., Mohamed,M., Munyua,P., Nganga,Z., Hiett,K., Seal,B., Feikin,D.R., Breiman,R.F. and Njenga,K.	Global Disease Detection Division, U.S. Centers for Disease Control and Prevention-Kenya, P.O. Box 606, Nairobi 00621, Kenya		14-APR-2011	KEN/Bar-032/07	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	partial		L		Kenya	Kenya		Homo sapiens		03-Feb-2007			Rift Valley fever virus strain KEN/Bar-032/07 polymerase (L) gene, complete cds	2007-02-03	Kenya	KEN/Bar-032/07	rvf	HM586957.1	0.0236	37.9062
HM587103.1	Rift Valley fever virus	GenBank			Grobbelaar,A., Swanepoel,R. and Paweska,J.T.	NICD, 1 Modderfontein Road, Johannesburg 2131, South Africa		09-DEC-2011	95EG vaccine	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		M		Uganda	Uganda				1944			Rift Valley fever virus isolate 95EG vaccine segment M glycoprotein G2 gene, partial cds	1944	Uganda	95EG vaccine	rvf	HM587103.1	1.3733	32.2903
GU135851.1	Rift Valley fever virus	GenBank			Reynes,J.-M., Elissa,N. and Ratovonjato,J.	Centre National de Reference Pour les Arbovirus et Virus Responsables de Fievres Hemorragiques, Institut Pasteur de Madagascar, Route de l'Institut Pasteur, Antananarivo 101, Madagascar		03-APR-2012	FI-148	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		L		Madagascar: Antanifotsy, Fianarantsoa I	Madagascar		Culex antennatus	unfed female mosquitos	19-Dec-2008			Rift Valley fever virus strain FI-148 segment L polymerase gene, partial cds	2008-12-19	Madagascar	FI-148	rvf	GU135851.1	-18.7669	46.8691
PP746378.1	Rift Valley fever virus	GenBank			Juma,J.A., Nsengimana,I., Mwangi,R., Nyamota,R., Konongoi,S.L., Roesel,K., Gasana,M.N., Ingabire,A., Uwibambe,E., Ndayisenga,F., Mavunyi,C.M., Hazikimana,E., Hazikimana,J.N., Eastwood,G., Chengula,A., Kasanga,C.J., Bett,B. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		22-AUG-2024	Rwanda2022P99	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3513	partial		M		Rwanda	Rwanda		Bos taurus		2022-07-29			Rift Valley fever virus strain Rwanda2022P99 glycoprotein gene, partial cds	2022-07-29	Rwanda	Rwanda2022P99	rvf	PP746378.1	-1.9403	29.8739
MG972973.1	Rift Valley fever virus	GenBank			Whitmer,S.L.M., Zufan,S.E., Stroeher,U., Nichol,S.T. and Klena,J.D.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		05-MAR-2020	201707024	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3852	complete		M		Uganda	Uganda		Homo sapiens		21-Nov-2017			Rift Valley fever virus strain 201707024 segment M, complete sequence	2017-11-21	Uganda	201707024	rvf	MG972973.1	1.3733	32.2903
MG649050.1	Rift Valley fever virus	GenBank			Bi,Y., Gary,W., Wang,B., Li,L. and Zeng,H.	CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Center for Influenza Research and Early-warning (CASCIRE), Chinese Academy of Sciences, No. 1 West Beichen Road, Beijing 100101, China		30-DEC-2018	RVFV-BJ01-Sera-6d/2016	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6395	complete		L		China: Beijing	China		Homo sapiens	serum	21-Jun-2016			Rift Valley fever virus isolate RVFV-BJ01-Sera-6d/2016 segment L, complete sequence	2016-06-21	China	RVFV-BJ01-Sera-6d/2016	rvf	MG649050.1	35.8617	104.1954
OK573011.1	Rift Valley fever virus	GenBank			Tallon,L., Sadzewicz,L., Vavikolanu,K., Mehta,A., Aluvathingal,J., Nadendla,S., Myers,T., Yan,Y. and Sichtig,H.	Center for Devices and Radiological Health, US Food and Drug Administration, 10903 New Hampshire Avenue, White Oak, MD 20903, USA		30-JUL-2022	ZH501	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	5004	partial				USA: MD	USA			BEI Isolate		SAMN11078002	PRJNA231221	UNVERIFIED: Rift Valley fever virus FDA:FDAARGOS_857 genomic sequence		USA	ZH501	rvf	OK573011.1	39.8283	-98.5795
JF326188.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control & Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA		08-FEB-2012	2007000260	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Kenya	Kenya		mosquito		31-Dec-2006			Rift Valley fever virus strain 2007000260 segment L, complete sequence	2006-12-31	Kenya	2007000260	rvf	JF326188.1	0.0236	37.9062
JF311390.1	Rift Valley fever virus	GenBank			Carroll,S.A., Reynes,J.-M., Khristova,M.L., Andriamandimby,S.F., Rollin,P.E. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA		16-JUN-2011	200803166	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Madagascar: Antananarivo	Madagascar		Homo sapiens		Feb-1991			Rift Valley fever virus strain 200803166 segment S, complete sequence	1991	Madagascar	200803166	rvf	JF311390.1	-18.7669	46.8691
HM586973.1	Rift Valley fever virus	GenBank			Nderitu,L.M., Lee,J.S., Omolo,J., Omulo,S., O'Guinn,M.L., Hightower,A., Mosha,F., Mohamed,M., Munyua,P., Nganga,Z., Hiett,K., Seal,B., Feikin,D.R., Breiman,R.F. and Njenga,K.	Global Disease Detection Division, U.S. Centers for Disease Control and Prevention-Kenya, P.O. Box 606, Nairobi 00621, Kenya		14-APR-2011	KEN/KLF-Msq/091/07	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	partial		M		Kenya	Kenya				13-Jan-2007			Rift Valley fever virus strain KEN/KLF-Msq/091/07 glycoprotein gene, complete cds	2007-01-13	Kenya	KEN/KLF-Msq/091/07	rvf	HM586973.1	0.0236	37.9062
MG659973.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1518/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1692	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1518/10 segment S, complete sequence	2010	South Africa	SA1518/10	rvf	MG659973.1	-30.5595	22.9375
PP746379.1	Rift Valley fever virus	GenBank			Juma,J.A., Nsengimana,I., Mwangi,R., Nyamota,R., Konongoi,S.L., Roesel,K., Gasana,M.N., Ingabire,A., Uwibambe,E., Ndayisenga,F., Mavunyi,C.M., Hazikimana,E., Hazikimana,J.N., Eastwood,G., Chengula,A., Kasanga,C.J., Bett,B. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		22-AUG-2024	Rwanda2022P1	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1658	partial		S		Rwanda	Rwanda		Bos taurus		2022-01-06			Rift Valley fever virus strain Rwanda2022P1 nonstructural protein gene, complete cds; and nucleocapsid gene, partial cds	2022-01-06	Rwanda	Rwanda2022P1	rvf	PP746379.1	-1.9403	29.8739
MG659860.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA509/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA509/10 segment L, complete sequence	2010	South Africa	SA509/10	rvf	MG659860.1	-30.5595	22.9375
KY126706.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SPU142/08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		bovine		2008			Rift Valley fever virus isolate SPU142/08 segment M, complete sequence	2008	South Africa	SPU142/08	rvf	KY126706.1	-30.5595	22.9375
DQ375412.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	ZC-3349	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Egypt: Asyut	Egypt			bovine	1978			Rift Valley fever virus strain ZC-3349 segment L, complete sequence	1978	Egypt	ZC-3349	rvf	DQ375412.1	26.8206	30.8025
ON060791.1	Rift Valley fever virus	GenBank			Nyakarahuka,L., Whitmer,S., Klena,J., Balinandi,S.K., Talundzic,E., Alex,T., Jackson,K., Mulei,S., Patel,K., Baluku,J., Grace,A.G., Diana,N., Kamugisha,K., Cossaboom,C., Whitesell,A., Carson,T., Graziano,J., Montomery,J., Stuart,N., Lutwama,J. and Shoemaker,T.R.	VSPB, CDC, 1600 Clifton Road, Atlanta, GA 30333, USA		25-MAR-2023	201902734_M|Uganda|2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3869	partial		M		Uganda	Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 201902734_M|Uganda|2018 glycoprotein gene, complete cds	2018	Uganda	201902734_M|Uganda|2018	rvf	ON060791.1	1.3733	32.2903
PP747235.1	Rift Valley fever virus	GenBank			Juma,J.A., Onwonga,A.A., Nsengimana,I., Konongoi,S.L., Dobi,P., Muli,C., Nyamota,R., Ongus,J., Bett,B. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		15-JAN-2025	AM-M1	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3840	partial		M		Kenya: Kiambu	Kenya		Bos taurus		16-Jan-2021			Rift Valley fever virus strain AM-M1 glycoprotein gene, partial cds	2021-01-16	Kenya	AM-M1	rvf	PP747235.1	0.0236	37.9062
ON060834.1	Rift Valley fever virus	GenBank			Nyakarahuka,L., Whitmer,S., Klena,J., Balinandi,S.K., Talundzic,E., Alex,T., Jackson,K., Mulei,S., Patel,K., Baluku,J., Grace,A.G., Diana,N., Kamugisha,K., Cossaboom,C., Whitesell,A., Carson,T., Graziano,J., Montomery,J., Stuart,N., Lutwama,J. and Shoemaker,T.R.	VSPB, CDC, 1600 Clifton Road, Atlanta, GA 30333, USA		25-MAR-2023	2021000843_L|Uganda	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6167	partial		L		Uganda	Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 2021000843_L|Uganda RNA-dependent RNA polymerase gene, partial cds	2018	Uganda	2021000843_L|Uganda	rvf	ON060834.1	1.3733	32.2903
KY366332.1	Rift Valley fever virus	GenBank			Bob,N.S., Ba,H., Ishagh,E., Fall,G., Darnycka,B.M.R., Diallo,M.Y., Ndiaye,A.M., Abeid,A., Faye,O., Sidi,M.L. and Sall,A.A.	Pole Virologie, Institut Pasteur de Dakar, 36 Avenue Pasteur, Dakar, Sen BP220, Senegal		29-JUN-2017	272655	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3765	partial		M		Mauritania	Mauritania		Homo sapiens	serum	2015			Rift Valley fever virus isolate 272655 glycoprotein gene, partial cds	2015	Mauritania	272655	rvf	KY366332.1	21.0079	-10.9408
AF134799.1	Rift Valley fever virus	GenBank			Sall,A.A., Zanotto,P.M., Sene,O.K., Digoutte,H.G., Thiogane,Y. and Bouloy,M.	Laboratoire des Bunyavirides, Institute Paster de Dakar, BP 220, Dakar, Senegal		26-JUL-2016	ZH 548	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	129	partial												Rift Valley fever virus strain ZH 548 polymerase (L) gene, partial cds			ZH 548	rvf	AF134799.1		
EU574017.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007001564	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Kenya: Muranga district	Kenya		bovine		29-Jan-2007			Rift Valley fever virus strain 2007001564 segment L, complete sequence	2007-01-29	Kenya	2007001564	rvf	EU574017.1	0.0236	37.9062
EU312123.1	Rift Valley fever virus	GenBank			Aitken,S.C., Paweska,J.T. and Grobbelaar,A.	Special Pathogens Unit, National Institute for Communicable Diseases, Private Bag X4, Sandringham, Johannesburg, Gauteng 2131, South Africa		30-NOV-2009	SPU45ZAMB85	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Zambia	Zambia		Homo sapiens		1985			Rift Valley fever virus strain SPU45ZAMB85 segment S, complete sequence	1985	Zambia	SPU45ZAMB85	rvf	EU312123.1	-13.1339	27.8493
GM828154.1	Rift Valley fever virus	GenBank			Wain-Hobson,S. and Vartanian,J.P.			17-DEC-2008		Phlebovirus riftense	Phlebovirus	Phenuiviridae	unassigned DNA	257	partial												Sequence 28 from Patent WO2007091125			GM828154.1	rvf	GM828154.1		
JF326187.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control & Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA		08-FEB-2012	2007000253	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Kenya	Kenya		mosquito		29-Dec-2006			Rift Valley fever virus strain 2007000253 segment L, complete sequence	2006-12-29	Kenya	2007000253	rvf	JF326187.1	0.0236	37.9062
HM586979.1	Rift Valley fever virus	GenBank			Nderitu,L.M., Lee,J.S., Omolo,J., Omulo,S., O'Guinn,M.L., Hightower,A., Mosha,F., Mohamed,M., Munyua,P., Nganga,Z., Hiett,K., Seal,B., Feikin,D.R., Breiman,R.F. and Njenga,K.	Global Disease Detection Division, U.S. Centers for Disease Control and Prevention-Kenya, P.O. Box 606, Nairobi 00621, Kenya		14-APR-2011	KEN/Bar-032/07	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	partial		S		Kenya	Kenya				03-Feb-2007			Rift Valley fever virus strain KEN/Bar-032/07 non-structural protein (NSs) and nucleocapsid protein (NP) genes, complete cds	2007-02-03	Kenya	KEN/Bar-032/07	rvf	HM586979.1	0.0236	37.9062
GQ443217.1	Rift Valley fever virus	GenBank			Reynes,J.-M., Andriamandimby,S.F. and Razainirina,J.	Centre National de Reference Pour les Arbovirus et Virus Responsables de Fievres Hemorragiques, Institut Pasteur de Madagascar, Route de L'institut Pasteur, Antananarivo 101, Madagascar		25-JUL-2016	2034-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		L		Madagascar	Madagascar		Homo sapiens	serum	23-Apr-2008			Rift Valley fever virus strain 2034-08 segment L polymerase gene, partial cds	2008-04-23	Madagascar	2034-08	rvf	GQ443217.1	-18.7669	46.8691
MG659790.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1167/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1167/10 segment M, complete sequence	2010	South Africa	SA1167/10	rvf	MG659790.1	-30.5595	22.9375
ON060830.1	Rift Valley fever virus	GenBank			Nyakarahuka,L., Whitmer,S., Klena,J., Balinandi,S.K., Talundzic,E., Alex,T., Jackson,K., Mulei,S., Patel,K., Baluku,J., Grace,A.G., Diana,N., Kamugisha,K., Cossaboom,C., Whitesell,A., Carson,T., Graziano,J., Montomery,J., Stuart,N., Lutwama,J. and Shoemaker,T.R.	VSPB, CDC, 1600 Clifton Road, Atlanta, GA 30333, USA		25-MAR-2023	2020001195_S|Uganda	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1671	partial		S		Uganda	Uganda		Homo sapiens					Rift Valley fever virus isolate 2020001195_S|Uganda nonstructural protein and nucleocapsid protein genes, complete cds		Uganda	2020001195_S|Uganda	rvf	ON060830.1	1.3733	32.2903
